organism	Number of KO function	Number of EC number function	class	Class
Micromonospora_aurantiaca_ATCC_27029	890	618	Actinobacteria	Actinobacteria
Bifidobacterium_bifidum_NCIMB_41171	554	342	Actinobacteria	Actinobacteria
Bifidobacterium_bifidum_PRL2010	584	343	Actinobacteria	Actinobacteria
Bifidobacterium_bifidum_S17	587	345	Actinobacteria	Actinobacteria
Bifidobacterium_boum_DSM_20432	615	420	Actinobacteria	Actinobacteria
Bifidobacterium_breve_HPH0326	590	359	Actinobacteria	Actinobacteria
Bifidobacterium_breve_UCC2003_NCIMB8807	583	350	Actinobacteria	Actinobacteria
Bifidobacterium_catenulatum_DSM_16992	549	352	Actinobacteria	Actinobacteria
Bifidobacterium_coryneforme_DSM_20216	551	400	Actinobacteria	Actinobacteria
Bifidobacterium_dentium_ATCC_27678	616	372	Actinobacteria	Actinobacteria
Bifidobacterium_gallicum_DSM_20093	514	344	Actinobacteria	Actinobacteria
Bifidobacterium_kashiwanohense_DSM_21854	643	431	Actinobacteria	Actinobacteria
Bifidobacterium_longum_DJO10A	586	364	Actinobacteria	Actinobacteria
Bifidobacterium_longum_E18	570	349	Actinobacteria	Actinobacteria
Bifidobacterium_longum_infantis_157F_NC	559	362	Actinobacteria	Actinobacteria
Bifidobacterium_longum_infantis_ATCC_15697	568	369	Actinobacteria	Actinobacteria
Bifidobacterium_longum_longum_ATCC_55813	556	360	Actinobacteria	Actinobacteria
Bifidobacterium_longum_longum_BBMN68	601	369	Actinobacteria	Actinobacteria
Bifidobacterium_longum_longum_CCUG_52486	555	360	Actinobacteria	Actinobacteria
Bifidobacterium_longum_longum_JCM_1217	596	361	Actinobacteria	Actinobacteria
Bifidobacterium_longum_longum_JDM301	610	367	Actinobacteria	Actinobacteria
Bifidobacterium_longum_NCC2705	540	359	Actinobacteria	Actinobacteria
Gordonia_terrae_NBRC_100016	936	621	Actinobacteria	Actinobacteria
Gordonia_terrae_C_6	913	599	Actinobacteria	Actinobacteria
Gordonia_rubripertincta_NBRC_101908	910	601	Actinobacteria	Actinobacteria
Arthrobacter_castelli_DSM_16402	950	644	Actinobacteria	Actinobacteria
Arcanobacterium_haemolyticum_DSM_20595	567	379	Actinobacteria	Actinobacteria
Bifidobacterium_mongoliense_DSM_21395	646	432	Actinobacteria	Actinobacteria
Bifidobacterium_pseudocatenulatum_DSM_20438	563	358	Actinobacteria	Actinobacteria
Bifidobacterium_pseudolongum_subsp_Pseudolongum_DSM_20099	609	413	Actinobacteria	Actinobacteria
Bifidobacterium_bifidum_BGN4	585	344	Actinobacteria	Actinobacteria
Kocuria_palustris_PEL	841	560	Actinobacteria	Actinobacteria
Kocuria_rhizophila_DC2201	830	532	Actinobacteria	Actinobacteria
Kytococcus_sedentarius_DSM_20547	773	499	Actinobacteria	Actinobacteria
Mycobacterium_fortuitum_subsp_fortuitum_DSM_46621	952	625	Actinobacteria	Actinobacteria
Mycobacterium_avium_subsp_avium_ATCC_25291	857	579	Actinobacteria	Actinobacteria
Mobiluncus_curtisii_ATCC_43063	610	429	Actinobacteria	Actinobacteria
Micrococcus_luteus_NCTC_2665	754	501	Actinobacteria	Actinobacteria
Microbacterium_paraoxydans_77MFTsu32	843	571	Actinobacteria	Actinobacteria
Microbacterium_oleivorans_NBRC_103075	852	571	Actinobacteria	Actinobacteria
Microbacterium_gubbeenense_DSM_15944	821	557	Actinobacteria	Actinobacteria
Bifidobacterium_adolescentis_ATCC_15703	580	355	Actinobacteria	Actinobacteria
Bifidobacterium_angulatum_DSM_20098	526	343	Actinobacteria	Actinobacteria
Bifidobacterium_animalis_lactis_AD011	501	327	Actinobacteria	Actinobacteria
Bifidobacterium_animalis_lactis_BB_12	527	346	Actinobacteria	Actinobacteria
Bifidobacterium_animalis_lactis_Bi_07	527	346	Actinobacteria	Actinobacteria
Bifidobacterium_animalis_lactis_Bl_04_ATCC_SD5219	527	346	Actinobacteria	Actinobacteria
Propionibacterium_acidipropionici_ATCC_4875	858	569	Actinobacteria	Actinobacteria
Bifidobacterium_ruminantium_DSM_6489	640	441	Actinobacteria	Actinobacteria
Propionibacterium_acnes_KPA171202	800	534	Actinobacteria	Actinobacteria
Propionibacterium_freudenreichii_subsp_shermanii_CIRM_BIA1	701	432	Actinobacteria	Actinobacteria
Propionibacterium_granulosum_DSM_20700	658	455	Actinobacteria	Actinobacteria
Propionibacterium_jensenii_DSM_20535	816	554	Actinobacteria	Actinobacteria
Propionibacterium_propionicum_F0230a	803	529	Actinobacteria	Actinobacteria
Rhodococcus_equi_ATCC_33707	893	617	Actinobacteria	Actinobacteria
Rhodococcus_equi_NBRC_101255	888	609	Actinobacteria	Actinobacteria
Rhodococcus_erythropolis_PR4	965	653	Actinobacteria	Actinobacteria
Rhodococcus_rhodochrous_ATCC_21198	958	647	Actinobacteria	Actinobacteria
Rothia_aeria_F0474	674	436	Actinobacteria	Actinobacteria
Rothia_dentocariosa_ATCC_17931	683	428	Actinobacteria	Actinobacteria
Rothia_mucilaginosa_DY_18	652	417	Actinobacteria	Actinobacteria
Bifidobacterium_animalis_lactis_CNCM_I_2494	524	342	Actinobacteria	Actinobacteria
Bifidobacterium_animalis_lactis_DSM_10140	527	346	Actinobacteria	Actinobacteria
Scardovia_inopinata_F0304	477	349	Actinobacteria	Actinobacteria
Propionibacterium_avidum_44067	798	533	Actinobacteria	Actinobacteria
Bifidobacterium_scardovii_JCM_12489	665	433	Actinobacteria	Actinobacteria
Bifidobacterium_animalis_lactis_V9	527	346	Actinobacteria	Actinobacteria
Bifidobacterium_thermacidophilum_subsp_thermacidophilum_DSM_15837	629	428	Actinobacteria	Actinobacteria
Actinomyces_odontolyticus_ATCC_17982	556	370	Actinobacteria	Actinobacteria
Brevibacterium_massiliense_5401308	711	488	Actinobacteria	Actinobacteria
Dietzia_cinnamea_P4	800	527	Actinobacteria	Actinobacteria
Varibaculum_cambriense_DSM_15806	650	440	Actinobacteria	Actinobacteria
Corynebacterium_amycolatum_SK46	763	517	Actinobacteria	Actinobacteria
Cellulosimicrobium_cellulans_J36	692	444	Actinobacteria	Actinobacteria
Brevibacterium_linens_BL2	851	606	Actinobacteria	Actinobacteria
Corynebacterium_ulcerans_809	741	482	Actinobacteria	Actinobacteria
Bifidobacterium_stercoris_DSM_24849	647	433	Actinobacteria	Actinobacteria
Corynebacterium_aurimucosum_ATCC_700975	780	531	Actinobacteria	Actinobacteria
Corynebacterium_durum_F0235	780	517	Actinobacteria	Actinobacteria
Actinomyces_oris_K20	650	427	Actinobacteria	Actinobacteria
Actinomyces_turicensis_ACS_279_V_Col4	630	425	Actinobacteria	Actinobacteria
Corynebacterium_striatum_ATCC_6940	799	537	Actinobacteria	Actinobacteria
Corynebacterium_glucuronolyticum_ATCC_51867	761	497	Actinobacteria	Actinobacteria
Corynebacterium_propinquum_DSM_44285	697	477	Actinobacteria	Actinobacteria
Brevibacterium_casei_S18	884	605	Actinobacteria	Actinobacteria
Actinomyces_graevenitzii_C83	627	419	Actinobacteria	Actinobacteria
Bifidobacterium_thermophilum_RBL67	637	420	Actinobacteria	Actinobacteria
Blastococcus_massiliensis_AP3	798	545	Actinobacteria	Actinobacteria
Brachybacterium_paraconglomeratum_LC44	878	589	Actinobacteria	Actinobacteria
Tropheryma_whipplei_str_Twist	419	295	Actinobacteria	Actinobacteria
Trueperella_pyogenes_MS249	648	442	Actinobacteria	Actinobacteria
Dermacoccus_nishinomiyaensis	796	549	Actinobacteria	Actinobacteria
Actinomyces_naeslundii_str_Howell_279	763	496	Actinobacteria	Actinobacteria
Corynebacterium_kroppenstedtii_DSM_44385	789	521	Actinobacteria	Actinobacteria
Actinomyces_urogenitalis_DSM_15434	720	470	Actinobacteria	Actinobacteria
Curtobacterium_flaccumfaciens_UCD_AKU	837	561	Actinobacteria	Actinobacteria
Corynebacterium_ureicelerivorans	713	476	Actinobacteria	Actinobacteria
Corynebacterium_tuberculostearicum_SK141	711	480	Actinobacteria	Actinobacteria
Corynebacterium_ammoniagenes_DSM_20306	823	556	Actinobacteria	Actinobacteria
Actinomyces_cardiffensis_F0333	656	425	Actinobacteria	Actinobacteria
Actinomyces_georgiae_DSM_6843	634	431	Actinobacteria	Actinobacteria
Actinomyces_viscosus_C505	767	509	Actinobacteria	Actinobacteria
Afipia_birgiae_34632	862	595	Alphaproteobacteria	Alphaproteobacteria
Agrobacterium_tumefaciens_F2	946	663	Alphaproteobacteria	Alphaproteobacteria
Roseomonas_mucosa_ATCC_BAA_692	933	638	Alphaproteobacteria	Alphaproteobacteria
Mesorhizobium_loti_MAFF303099	993	682	Alphaproteobacteria	Alphaproteobacteria
Methylobacterium_mesophilicum_SR16_6	955	641	Alphaproteobacteria	Alphaproteobacteria
Methylobacterium_populi_BJ001	941	624	Alphaproteobacteria	Alphaproteobacteria
Methylobacterium_radiotolerans_JCM_2831	913	628	Alphaproteobacteria	Alphaproteobacteria
Brevundimonas_diminuta_470_4	776	541	Alphaproteobacteria	Alphaproteobacteria
Brevundimonas_bacteroides_DSM_4726	765	526	Alphaproteobacteria	Alphaproteobacteria
Ochrobactrum_anthropi_ATCC_49188	940	636	Alphaproteobacteria	Alphaproteobacteria
Ochrobactrum_intermedium_LMG_3301	916	622	Alphaproteobacteria	Alphaproteobacteria
Bartonella_quintana_Toulouse	488	297	Alphaproteobacteria	Alphaproteobacteria
Bradyrhizobium_elkanii_USDA_76	1007	687	Alphaproteobacteria	Alphaproteobacteria
Bradyrhizobium_japonicum_USDA_6	991	685	Alphaproteobacteria	Alphaproteobacteria
Paracoccus_yeei_ATCC_BAA_599	959	634	Alphaproteobacteria	Alphaproteobacteria
Lactobacillus_sakei_subsp_sakei_23K	518	309	Bacilli	Bacilli
Lactobacillus_reuteri_CF48_3A	553	372	Bacilli	Bacilli
Lactobacillus_reuteri_F275_JCM_1112	545	365	Bacilli	Bacilli
Lactobacillus_rhamnosus_GG_ATCC_53103	638	392	Bacilli	Bacilli
Lactobacillus_ruminis_ATCC_25644	530	340	Bacilli	Bacilli
Lactobacillus_rhamnosus_LMS2_1	627	391	Bacilli	Bacilli
Lactobacillus_reuteri_SD2112_ATCC_55730	552	372	Bacilli	Bacilli
Lactobacillus_reuteri_MM4_1A	555	372	Bacilli	Bacilli
Lactobacillus_reuteri_MM2_3	555	373	Bacilli	Bacilli
Lactobacillus_salivarius_HO66_ATCC_11741	534	347	Bacilli	Bacilli
Listeria_monocytogenes_Finland_1988	770	484	Bacilli	Bacilli
Lactobacillus_ultunensis_DSM_16047	463	301	Bacilli	Bacilli
Paenibacillus_daejeonensis_DSM_15491	921	600	Bacilli	Bacilli
Paenibacillus_barengoltzii_G22	889	589	Bacilli	Bacilli
Paenibacillus_alvei_DSM_29	921	607	Bacilli	Bacilli
Oceanobacillus_picturae_strain_S1	889	570	Bacilli	Bacilli
Lysinibacillus_sphaericus_C3_41	871	581	Bacilli	Bacilli
Lysinibacillus_fusiformis_ZB2	887	596	Bacilli	Bacilli
Listeria_monocytogenes_SLCC_7179	766	481	Bacilli	Bacilli
Listeria_monocytogenes_SLCC_2540	771	483	Bacilli	Bacilli
Listeria_monocytogenes_SLCC_2378	764	479	Bacilli	Bacilli
Listeria_monocytogenes_serotype_7_SLCC_2482	767	482	Bacilli	Bacilli
Listeria_monocytogenes_J0161_FSL_R2_499	767	482	Bacilli	Bacilli
Lactobacillus_salivarius_salivarius_UCC118	533	346	Bacilli	Bacilli
Listeria_monocytogenes_FSL_R2_561	766	481	Bacilli	Bacilli
Listeria_monocytogenes_4b_F2365	764	479	Bacilli	Bacilli
Listeria_monocytogenes_4a_L99	760	469	Bacilli	Bacilli
Listeria_grayi_DSM_20601	734	457	Bacilli	Bacilli
Leuconostoc_mesenteroides_subsp_cremoris_ATCC_19254	508	345	Bacilli	Bacilli
Leuconostoc_lactis_KACC_91922	622	408	Bacilli	Bacilli
Leuconostoc_gelidum_JB7	634	426	Bacilli	Bacilli
Leuconostoc_argentinum_KCTC_3773	601	396	Bacilli	Bacilli
Lactococcus_raffinolactis_4877	700	448	Bacilli	Bacilli
Lactococcus_lactis_subsp_lactis_Il1403	742	479	Bacilli	Bacilli
Lactococcus_garvieae_ATCC_49156	589	382	Bacilli	Bacilli
Lactobacillus_vaginalis_ATCC_49540	573	374	Bacilli	Bacilli
Lactobacillus_plantarum_WCFS1	682	430	Bacilli	Bacilli
Lactobacillus_plantarum_subsp_plantarum_ATCC_14917	669	423	Bacilli	Bacilli
Lactobacillus_hilgardii_ATCC_8290	623	416	Bacilli	Bacilli
Lactobacillus_pentosus_KCA1	745	488	Bacilli	Bacilli
Kurthia_massiliensis_JC30	820	540	Bacilli	Bacilli
Enterococcus_casseliflavus_ATCC_12755	764	509	Bacilli	Bacilli
Enterococcus_cecorum_DSM_20682	728	477	Bacilli	Bacilli
Enterococcus_dispar_ATCC_51266	698	453	Bacilli	Bacilli
Enterococcus_durans_ATCC_6056	665	426	Bacilli	Bacilli
Enterococcus_faecalis_OG1RF_ATCC_47077	647	401	Bacilli	Bacilli
Enterococcus_faecalis_TX0104	654	411	Bacilli	Bacilli
Enterococcus_faecalis_TX1322	668	417	Bacilli	Bacilli
Enterococcus_faecalis_TX2134	644	399	Bacilli	Bacilli
Enterococcus_faecalis_V583	657	412	Bacilli	Bacilli
Enterococcus_faecium_TX1330	600	376	Bacilli	Bacilli
Enterococcus_gallinarum_EG2	714	477	Bacilli	Bacilli
Enterococcus_hirae_ATCC_9790	668	437	Bacilli	Bacilli
Enterococcus_phoeniculicola_ATCC_BAA_412	732	484	Bacilli	Bacilli
Enterococcus_caccae_ATCC_BAA_1240	773	499	Bacilli	Bacilli
Enterococcus_saccharolyticus_DSM8903	732	443	Bacilli	Bacilli
Brochothrix_thermosphacta_DSM_20171	756	502	Bacilli	Bacilli
Exiguobacterium_aurantiacum_DSM_6208	831	522	Bacilli	Bacilli
Granulicatella_elegans_ATCC_700633	524	346	Bacilli	Bacilli
Granulicatella_adiacens_ATCC_49175	515	328	Bacilli	Bacilli
Brevibacillus_brevis_NBRC_100599	946	625	Bacilli	Bacilli
Brevibacillus_borstelensis_AK1	895	607	Bacilli	Bacilli
Brevibacillus_agri_BAB_2500	938	619	Bacilli	Bacilli
Brevibacillus_agri_5_2	931	625	Bacilli	Bacilli
Geobacillus_vulcani_PSS1	952	604	Bacilli	Bacilli
Geobacillus_stearothermophilus_ATCC_7953	889	561	Bacilli	Bacilli
Gemella_sanguinis_M325	528	352	Bacilli	Bacilli
Gemella_sanguinis_ATCC700632	555	359	Bacilli	Bacilli
Gemella_morbillorum_M424	518	347	Bacilli	Bacilli
Gemella_haemolysans_ATCC_10379	527	359	Bacilli	Bacilli
Enterococcus_sp_7L76	646	399	Bacilli	Bacilli
Enterococcus_avium_ATCC_14025	822	552	Bacilli	Bacilli
Paenibacillus_graminis_C4D1M	1031	712	Bacilli	Bacilli
Enterococcus_asini_ATCC_700915	698	455	Bacilli	Bacilli
Lactobacillus_paracasei_subsp_paracasei_ATCC_25302	637	388	Bacilli	Bacilli
Lactobacillus_paracasei_subsp_paracasei_8700_2	644	395	Bacilli	Bacilli
Lactobacillus_oris_F0423	625	409	Bacilli	Bacilli
Lactobacillus_mucosae_LM1	641	397	Bacilli	Bacilli
Lactobacillus_johnsonii_NCC_533	403	259	Bacilli	Bacilli
Lactobacillus_johnsonii_DPC_6026	406	264	Bacilli	Bacilli
Lactobacillus_jensenii_1153	490	324	Bacilli	Bacilli
Lactobacillus_iners_DSM_13335	436	284	Bacilli	Bacilli
Lactobacillus_helveticus_DSM_20075	461	289	Bacilli	Bacilli
Lactobacillus_helveticus_DPC_4571	494	305	Bacilli	Bacilli
Lactobacillus_gastricus_PS3	679	431	Bacilli	Bacilli
Lactobacillus_gasseri_ATCC_33323	407	263	Bacilli	Bacilli
Lactobacillus_fermentum_IFO_3956	598	376	Bacilli	Bacilli
Lactobacillus_fermentum_ATCC_14931	550	359	Bacilli	Bacilli
Lactobacillus_delbrueckii_subsp_bulgaricus_ATCC_BAA_365	428	279	Bacilli	Bacilli
Lactobacillus_delbrueckii_subsp_bulgaricus_ATCC_11842	492	310	Bacilli	Bacilli
Lactobacillus_curvatus_CRL_705	521	345	Bacilli	Bacilli
Lactobacillus_acidophilus_ATCC_4796	436	280	Bacilli	Bacilli
Lactobacillus_acidophilus_NCFM	461	287	Bacilli	Bacilli
Lactobacillus_amylolyticus_DSM_11664	382	260	Bacilli	Bacilli
Lactobacillus_amylovorus_GRL_1112	527	359	Bacilli	Bacilli
Lactobacillus_animalis_KCTC_3501	570	374	Bacilli	Bacilli
Lactobacillus_antri_DSM_16041	543	365	Bacilli	Bacilli
Lactobacillus_plantarum_JDM1	681	422	Bacilli	Bacilli
Lactobacillus_brevis_ATCC_367	487	333	Bacilli	Bacilli
Lactobacillus_buchneri_ATCC_11577	639	425	Bacilli	Bacilli
Lactobacillus_casei_ATCC_334	610	374	Bacilli	Bacilli
Lactobacillus_casei_casei_BL23	632	394	Bacilli	Bacilli
Lactobacillus_coleohominis_101_4_CHN	528	351	Bacilli	Bacilli
Lactobacillus_coryniformis_subsp_coryniformis_CECT_5711	765	502	Bacilli	Bacilli
Lactobacillus_crispatus_125_2_CHN	450	283	Bacilli	Bacilli
Lactobacillus_brevis_subsp_gravesensis_ATCC_27305	679	449	Bacilli	Bacilli
Paenibacillus_lactis_154	904	598	Bacilli	Bacilli
Abiotrophia_defectiva_ATCC_49176	598	387	Bacilli	Bacilli
Staphylococcus_capitis_CR0101	816	528	Bacilli	Bacilli
Bacillus_altitudinis_41KF2b	925	607	Bacilli	Bacilli
Staphylococcus_arlettae_CVD059	878	564	Bacilli	Bacilli
Staphylococcus_aureus_subsp_aureus_USA300_FPR3757	852	548	Bacilli	Bacilli
Staphylococcus_capitis_QN1	819	533	Bacilli	Bacilli
Staphylococcus_caprae_C87	819	536	Bacilli	Bacilli
Staphylococcus_cohnii_hu_01	962	618	Bacilli	Bacilli
Staphylococcus_epidermidis_ATCC_12228	832	527	Bacilli	Bacilli
Staphylococcus_equorum_subsp_equorum_Mu2	879	567	Bacilli	Bacilli
Staphylococcus_haemolyticus_JCSC1435	814	530	Bacilli	Bacilli
Staphylococcus_hominis_subsp_hominis_C80	813	515	Bacilli	Bacilli
Staphylococcus_intermedius_ATCC_27335	588	368	Bacilli	Bacilli
Staphylococcus_lugdunensis_HKU09_01	815	527	Bacilli	Bacilli
Staphylococcus_pasteuri_SP1	825	533	Bacilli	Bacilli
Staphylococcus_pettenkoferi_VCU012	801	522	Bacilli	Bacilli
Staphylococcus_saprophyticus_subsp_saprophyticus_ATCC_15305	866	551	Bacilli	Bacilli
Staphylococcus_sciuri_subsp_sciuri_Z8	875	564	Bacilli	Bacilli
Staphylococcus_simulans_ACS_120_V_Sch1	861	558	Bacilli	Bacilli
Staphylococcus_vitulinus_F1028	855	552	Bacilli	Bacilli
Staphylococcus_warneri_SG1	836	539	Bacilli	Bacilli
Staphylococcus_xylosus_DMB3_Bh1	878	569	Bacilli	Bacilli
Aneurinibacillus_aneurinilyticus_ATCC_12856	914	595	Bacilli	Bacilli
Bacillus_amyloliquefaciens_DSM7	932	626	Bacilli	Bacilli
Streptococcus_agalactiae_A909	655	441	Bacilli	Bacilli
Bacillus_amyloliquefaciens_subsp_amyloliquefaciens_DC_12	964	629	Bacilli	Bacilli
Bacillus_cereus_AH187_F4810_72	934	589	Bacilli	Bacilli
Bacillus_vallismortis_DV1_F_3	903	605	Bacilli	Bacilli
Bacillus_timonensis_10403023	928	603	Bacilli	Bacilli
Bacillus_thuringiensis_serovar_thuringiensis_str_T01001	967	627	Bacilli	Bacilli
Bacillus_thermoamylovorans	897	568	Bacilli	Bacilli
Bacillus_subtilis_str_168	968	653	Bacilli	Bacilli
Bacillus_sonorensis_L12	946	641	Bacilli	Bacilli
Bacillus_pumilus_ATCC_7061	923	608	Bacilli	Bacilli
Bacillus_pseudofirmus_OF4	907	592	Bacilli	Bacilli
Bacillus_nealsonii_AAU1	924	603	Bacilli	Bacilli
Bacillus_mycoides_DSM_2048	949	623	Bacilli	Bacilli
Bacillus_mojavensis_RO_H_1	979	657	Bacilli	Bacilli
Bacillus_megaterium_DSM319	1000	651	Bacilli	Bacilli
Bacillus_licheniformis_ATCC_14580	961	635	Bacilli	Bacilli
Bacillus_infantis_NRRL_B_14911	971	632	Bacilli	Bacilli
Bacillus_halodurans_C_125	952	613	Bacilli	Bacilli
Bacillus_fordii_DSM_16014	877	574	Bacilli	Bacilli
Bacillus_flexus_27Col1_1E	1019	666	Bacilli	Bacilli
Bacillus_firmus_DS1	957	606	Bacilli	Bacilli
Bacillus_endophyticus_2102	1023	690	Bacilli	Bacilli
Bacillus_clausii_KSM_K16	946	621	Bacilli	Bacilli
Bacillus_cereus_G9842	923	585	Bacilli	Bacilli
Bacillus_atrophaeus_ATCC_49822_1	960	642	Bacilli	Bacilli
Streptococcus_anginosus_1_2_62CV	539	343	Bacilli	Bacilli
Staphylococcus_xylosus_NJ	891	579	Bacilli	Bacilli
Streptococcus_constellatus_subsp_constellatus_SK53	594	376	Bacilli	Bacilli
Pediococcus_acidilactici_7_4	477	308	Bacilli	Bacilli
Streptococcus_pseudopneumoniae_IS7493	637	410	Bacilli	Bacilli
Streptococcus_pyogenes_MGAS9429	581	379	Bacilli	Bacilli
Streptococcus_australis_ATCC_700641	676	453	Bacilli	Bacilli
Streptococcus_sanguinis_SK36	715	474	Bacilli	Bacilli
Streptococcus_sp_2_1_36FAA	599	377	Bacilli	Bacilli
Streptococcus_sp_I_G2	574	351	Bacilli	Bacilli
